id,iata,icao,airport,city,state,est_flight_ttl,est_volume_mt,timestamp
1,TIA,LATI,Tirana/Mother Teresa,Tirana,Albania,21.0,34.0,3/15/25 10:39
2,ALG,DAAG,Houari Boumediene,ALGER,Algeria,2.0,26.0,3/15/25 10:39
3,EVN,UDYZ,Yerevan Zvartnots,Yerevan,Armenia,14.0,79.0,3/15/25 10:39
4,VIE,LOWW,Vienna International,Vienna,Austria,154.0,470.0,3/15/25 10:39
5,GRZ,LOWG,Graz International,GRAZ,Austria,2.0,13.0,3/15/25 10:39
6,KLU,LOWK,Karntner Klagenfurt Worthersee,Klagenfurt,Austria,2.0,13.0,3/15/25 10:39
7,LNZ,LOWL,Linz,Linz,Austria,2.0,13.0,3/15/25 10:39
8,GYD,UBBB,Baku Heydar Aliyev International,Baku,Azerbaijan,2.0,18.0,3/15/25 10:39
9,BAH,OBBI,Bahrain International,Manama,Bahrain,2.0,13.0,3/15/25 10:39
10,BRU,EBBR,Brussels National,Brussels,Belgium,222.0,1150.0,3/15/25 10:39
11,SJJ,LQSA,Sarajevo International,Sarajevo,Bosnia and Herzegovina,5.0,12.0,3/15/25 10:39
12,OMO,LQMO,Mostar International Airport,Mostar,Bosnia and Herzegovina,2.0,2.0,3/15/25 10:39
13,SPC,GCLA,La Palma Airport,Brena Baja,Canary islands,2.0,12.0,3/15/25 10:39
14,SID,GVAC,Sal/Amilcar Cabral International,Sal,Cape Verde,2.0,21.0,3/15/25 10:39
15,RJK,LDRI,Rijeka,Krk Island,Croatia,15.0,37.0,3/15/25 10:39
16,ZAG,LDZA,Zagreb,Zagreb,Croatia,11.0,31.0,3/15/25 10:39
17,SPU,LDSP,Split,Split,Croatia,9.0,19.0,3/15/25 10:39
18,PUY,LDPL,Pula,Pula,Croatia,4.0,14.0,3/15/25 10:39
19,ZAD,LDZD,Zadar Zemunik,Zadar,Croatia,2.0,13.0,3/15/25 10:39
20,DBV,LDDU,Dubrovnik Cilipi,Dubrovnik,Croatia,2.0,7.0,3/15/25 10:39
21,LCA,LCLK,Larnaka International,Larnaca,Cyprus,99.0,470.0,3/15/25 10:39
22,PFO,LCPH,Paphos International (Pafos),Paphos,Cyprus,2.0,13.0,3/15/25 10:39
23,PRG,LKPR,Ruzyne/Vaclav Havel Prague,Prague,Czech Republic,250.0,920.0,3/15/25 10:39
24,PED,LKPD,Pardubice,Pardubice,Czech Republic,20.0,68.0,3/15/25 10:39
25,OSR,LKMT,Ostrava Leos Janacek / Mošnov ,Ostrava,Czech Republic,10.0,35.0,3/15/25 10:39
26,BRQ,LKTB,Brno - Turany,BRNO,Czech Republic,11.0,13.0,3/15/25 10:39
27,KLV,LKKV,Karlovy Vary,Karlovy Vary,Czech Republic,2.0,13.0,3/15/25 10:39
28,BLL,EKBI,Billund,Billund,Denmark,18.0,112.0,3/15/25 10:39
29,CPH,EKCH,Copenhagen,Copenhagen,Denmark,7.0,91.0,3/15/25 10:39
30,JIB,HDAM,Djibouti/Ambouli ,Djibouti,Djibouti,16.0,261.0,3/15/25 10:39
31,HRG,HEGN,Hurghada International,Hurghada,Egypt,31.0,219.0,3/15/25 10:39
32,SSH,HESH,Sharm El Sheikh International,Sharm Al Shaikh,Egypt,33.0,216.0,3/15/25 10:39
33,LXR,HELX,Luxor International,Luxor,Egypt,17.0,178.0,3/15/25 10:39
34,CAI,HECA,Cairo,Cairo,Egypt,11.0,100.0,3/15/25 10:39
35,ASW,HESN,Aswan International,Aswan,Egypt,5.0,55.0,3/15/25 10:39
36,RMF,HEMA,Marsa Alam International,Marsa Alam,Egypt,3.0,15.0,3/15/25 10:39
37,TLL,EETN,Tallinn,Tallinn,Estonia,2.0,6.0,3/15/25 10:39
38,RVN,EFRO,Rovaniemi,Rovaniemi,Finland,2.0,142.0,3/15/25 10:39
39,HEL,EFHK,Helsinki Vantaa,Helsinki,Finland,2.0,12.0,3/15/25 10:39
40,KTT,EFKT,Kittil√§ Airport,Kitty,Finland,2.0,5.0,3/15/25 10:39
41,CDG,LFPG,Paris Charles de Gaulle,Paris,France,501.0,2760.0,3/15/25 10:39
42,LYS,LFLL,Lyon Saint Exupery,Lyon,France,104.0,550.0,3/15/25 10:39
43,NCE,LFMN,Nice Cote d'Azur International,Nice,France,2.0,235.0,3/15/25 10:39
44,SXB,LFST,Strasbourg Entzheim,Strasbourg,France,4.0,27.0,3/15/25 10:39
45,ORY,LFPO,Paris Orly,Paris,France,4.0,19.0,3/15/25 10:39
46,BOD,LFBD,Bordeaux Merignac International,Bordeaux,France,2.0,13.0,3/15/25 10:39
47,LIL,LFQQ,Lille Lesquin,Lille,France,2.0,13.0,3/15/25 10:39
