id,valid_since,valid_until,confirmed,supplier,iata,period,diff_calc,value_fee_calc,value_fee_calc_1,value_fee_calc_2,value_fee_calc_3,value_fee_calc_4,value_fee_calc_5,value_fee_calc_6,SAF_diff_calc,total_fees_calc,diff_total,rank1,rank2,rank_final
3099,2025-03-13,2025-03-31,Tender,Jetex,ACE,PW,35.951851943768176,2.609837883594793,1.710704717107371,0.0,0.0,0.0,0.0,0.0,0.0,4.320542600702164,35.951851943768176,1,1,1.1
2534,2025-03-14,2025-03-31,Tender,AEG,ACE,PW,37.83839389604951,1.3220608882607512,1.314273834908913,1.2780658353846202,0.0,0.0,0.0,0.0,0.0,3.9144005585542843,37.83839389604951,1,2,1.2
2871,2025-03-17,2025-03-31,Tender,Royal Petrol,ADB,1/2M,14.647809716227385,2.0892942252030275,5.289741941408761,0.0,0.0,0.0,0.0,0.0,0.0,7.3790361666117885,14.647809716227385,1,1,1.1
2380,2025-03-13,2025-03-31,Tender,UCIG,ADB,1/2M,16.07126457893287,2.0858178620995287,5.289741941408761,0.0,0.0,0.0,0.0,0.0,0.0,7.37555980350829,16.07126457893287,1,2,1.2
2953,2025-03-13,2025-03-31,Tender,Ist Jet,ADB,1/2M,16.07126457893287,2.0858178620995287,5.289741941408761,0.0,0.0,0.0,0.0,0.0,0.0,7.37555980350829,16.07126457893287,1,2,1.2
3213,2025-03-13,2025-03-31,Tender,Jetex,ADB,1/2M,18.5,8.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.63,18.5,1,4,1.4
2485,2025-03-14,2025-03-31,Tender,Total,AGA,1/2M,39.94857195334741,1.4180758227974848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4180758227974848,39.94857195334741,1,1,1.1
2913,2025-03-17,2025-03-31,Tender,Royal Petrol,AGA,1/2M,41.326108917255944,1.2857011663146294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2857011663146294,41.326108917255944,1,2,1.2
3102,2025-03-13,2025-03-31,Tender,Jetex,AGA,1/2M,47.29543576085958,1.3224354853521902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3224354853521902,47.29543576085958,1,3,1.3
2727,2025-03-16,2025-03-31,Tender,WF,AGA,1/2M,57.699999999999996,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,57.699999999999996,1,4,1.4
2535,2025-03-14,2025-03-31,Tender,AEG,AGA,1/2M,157.69886816036086,1.4322484045359951,30.283294267202358,0.0,0.0,0.0,0.0,0.0,0.0,31.71554267173835,157.69886816036086,1,5,1.5
2349,2025-03-13,2025-03-31,Tender,UCIG,AGA,1/2M,315.59371843144453,1.2857011663146294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2857011663146294,315.59371843144453,1,6,1.6
