id,iata,supplier,period,price_usc_per_gallon,price_dollar_per_tonne
3099,ACE,Jetex,PW,244.24941377523936,806.5604141685955
2871,ADB,Royal Petrol,1/2M,234.2046977346912,773.3907528594973
2485,AGA,Total,1/2M,251.7278598973569,831.255738953052
3013,AGP,Ist Jet,PM,264.7364956941913,874.2128560813586
2728,AHO,WF,PW,296.327441471572,978.532477227425
3258,AJA,Air BP,PW,598.8376235130268,1977.481600364717
2538,ALA,AEG,MP,357.64498462299,1181.0152682220378
3017,ALC,Ist Jet,PM,261.87962050952683,864.7788828465596
2730,ALG,WF,MP,279.30800000000005,922.3308776000001
2541,AMS,AEG,PM,248.6703470942247,821.1592201745488
3261,AOI,Air BP,PM,296.553725936536,979.2797137876292
2336,AQJ,UCIG,MP,276.79309394802095,914.0261548351548
3262,ARN,Air BP,PM,291.87076742065295,963.8156481764802
2894,ASW,Royal Petrol,PM,243.97083662384813,805.6404966992714
2436,ATH,CAC,PW,254.0985324144906,839.0841737391308
2389,AUH,ASM,PM,241.960305813206,799.0013218563688
2929,AYT,Ist Jet,1/2M,249.90816541090857,825.2467438199022
3264,BAH,Air BP,1/2M,265.69629746449704,877.3823134872621
3203,BAY,Jetex,PW,298.822076343443,986.7702605013174
3014,BCN,Ist Jet,PM,259.45103329203624,856.7592021369621
2993,BEG,Ist Jet,PW,284.9128358978661,940.8391667019334
2859,BER,Royal Petrol,PM,274.86298048817014,907.6525341680355
2488,BEY,Total,PM,270.94229956837177,894.7056616346772
2551,BFS,AEG,PW,282.34872454019455,932.3719581766304
3267,BGY,Air BP,PM,268.0571754274335,885.1784046964709
2553,BHX,AEG,PW,262.61376340629886,867.2031695202801
2378,BJV,UCIG,1/2M,238.609339656095,787.9357614123569
3268,BLL,Air BP,PW,255.33676126623652,843.1730530533663
3269,BLQ,Air BP,PM,264.47384720691764,873.3455382466834
2491,BOD,Total,PW,267.6383009702616,883.7951974639979
2959,BRI,Ist Jet,PM,267.1890190750926,882.3115787897707
2411,BRQ,CAC,PW,353.8685859501186,1168.5448445244815
2558,BRS,AEG,PM,376.5572124356897,1243.4672269051346
2292,BRU,Q8,PM,259.43300746559544,856.6996772528893
2560,BSL,AEG,PW,272.65538182925695,900.3626018765723
2480,BTS,CAC,PW,283.2174810716516,935.2407659948079
2333,BUD,UCIG,PW,296.5979296072567,979.4256831490829
2978,BUS,Ist Jet,1/2M,301.1740088068166,994.5368118818697
2977,BZG,Ist Jet,PW,262.07576388298077,865.4265874943791
2864,CAI,Royal Petrol,MP,228.80438253002183,755.5578319906381
3274,CDG,Air BP,PM,260.44783629131484,860.0508450011799
2319,CFU,UCIG,1/2M,2354.078166304461,7773.636920770591
2496,CGN,Total,PW,252.04330746901599,832.2974099241846
2324,CHQ,UCIG,1/2M,282.08157380271695,931.4897730113319
2569,CLJ,AEG,PW,292.1707134793535,964.8061300515211
2570,CMB,AEG,MP,215.81412434567,712.6614014142715
2571,CPH,AEG,PM,283.2382406156075,935.309318160859
2572,CTA,AEG,PM,261.45238979397914,863.3680815776779
2573,CWL,AEG,PW,275.6543701800065,910.2658612084174
2574,DBV,AEG,PW,262.57592305638286,867.0782131167875
3163,DEB,Jetex,PW,364.5537203233273,1203.8292952516915
3234,DIA,Jetex,MP,213.1508862154471,703.8668564606494
2360,DJE,UCIG,PM,265.55429332353754,876.9133874129857
2943,DLM,Ist Jet,1/2M,239.75728712601875,791.7265135475392
2577,DOH,AEG,MP,209.477454311691,691.736449628066
2578,DRS,AEG,PW,272.2315339613053,898.9629714470223
2579,DTM,AEG,PW,802.3825017391041,2649.6274972428696
2580,DUB,AEG,PW,277.6070807175454,916.7141019454784
2499,DUS,Total,PW,255.13754078040074,842.5151871650394
2362,DWC,UCIG,PM,232.13387547065847,766.5524835792083
