supplier,iata,offer_platts,offer_period,valid_since,valid_until
Total,BER,HNWE  USDC.UGL,PW,2024-04-01,2025-03-31
Total,BOD,HNWE  USDC.UGL,PW,2024-04-01,2025-03-31
Total,BSL,HROTT  USDC.UGL,PW,2024-04-01,2025-03-31
Total,CGN,HROTT  USDC.UGL,PW,2024-04-01,2025-03-31
Total,DRS,HNWE  USDC.UGL,PW,2024-04-01,2025-03-31
Total,DUS,HROTT  USDC.UGL,PW,2024-04-01,2025-03-31
Total,EIN,HROTT  USDC.UGL,PW,2024-04-01,2025-03-31
Total,FCO,HNWE  USDC.UGL,PW,2024-04-01,2025-03-31
Total,FRA,HROTT  USDC.UGL,PW,2024-04-01,2025-03-31
Total,KLV,HROTT  USDC.UGL,PW,2024-04-01,2025-03-31
Total,LEJ,HNWE  USDC.UGL,PW,2024-04-01,2025-03-31
Total,LIL,HNWE  USDC.UGL,PW,2024-04-01,2025-03-31
Total,MRS,HNWE  USDC.UGL,PW,2024-04-01,2025-03-31
WF,ATH,FOB MED  USDC.UGL,PW,2024-04-01,2025-03-31
WF,HER,FOB MED  USDC.UGL,PW,2024-04-01,2025-03-31
WF,LIN,HNWE  USDC.UGL,PW,2024-04-01,2025-03-31
WF,MXP,FOB MED  USDC.UGL,PW,2024-04-01,2025-03-31
WF,SKG,FOB MED  USDC.UGL,PW,2024-04-01,2025-03-31
WF,ZTH,FOB MED  USDC.UGL,PW,2024-04-01,2025-03-31
UCIG,ALG,Market price,MP,2025-03-12,2025-03-31
UCIG,GYD,Market price,MP,2025-03-12,2025-03-31
UCIG,BAH,ARAB GULF FOB HIGH PRIOR,PW,2025-03-12,2025-03-31
UCIG,ZAG,FOB MED  USDC.UGL,PW,2025-03-12,2025-03-31
UCIG,SPU,FOB MED  USDC.UGL,PW,2025-03-12,2025-03-31
UCIG,DBV,FOB MED  USDC.UGL,PW,2025-03-12,2025-03-31
UCIG,ZAD,FOB MED  USDC.UGL,PW,2025-03-12,2025-03-31
UCIG,LCA,FOB MED  USDC.UGL,1/2M,2025-03-12,2025-03-31
UCIG,PFO,FOB MED  USDC.UGL,1/2M,2025-03-12,2025-03-31
UCIG,JIB,Market price,MP,2025-03-12,2025-03-31
UCIG,HRG,Market Price,MP,2025-03-12,2025-03-31
UCIG,SSH,Market price,MP,2025-03-12,2025-03-31
UCIG,LXR,Market price,MP,2025-03-12,2025-03-31
UCIG,CAI,Market price,MP,2025-03-12,2025-03-31
UCIG,ASW,Market price,MP,2025-03-12,2025-03-31
UCIG,RMF,Market price,MP,2025-03-12,2025-03-31
UCIG,TBS,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,BUS,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,ATH,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
UCIG,HER,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
UCIG,CFU,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,ZTH,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,LXS,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,JTR,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,KGS,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,CHQ,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,KLX,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,PVK,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,JSI,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,SKG,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,JMK,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,KVA,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,EFL,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,RHO,FOB MED  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,BUD,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
UCIG,AQJ,Market price,MP,2025-03-13,2025-03-31
UCIG,ALA,Market price,MP,2025-03-13,2025-03-31
UCIG,MLE,Market price,MP,2025-03-13,2025-03-31
UCIG,GAN,Market price,MP,2025-03-13,2025-03-31
UCIG,MRU,Market price,MP,2025-03-13,2025-03-31
UCIG,TIV,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
UCIG,TGD,FOB MED  USDC.UGL,PW,2025-03-13,2025-03-31
UCIG,TNG,HNWE  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,RAK,HNWE  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,AGA,HNWE  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,FEZ,HNWE  USDC.UGL,1/2M,2025-03-13,2025-03-31
UCIG,MCT,ARAB GULF FOB HIGH PRIOR,1/2M,2025-03-13,2025-03-31
UCIG,SLL,Market price,MP,2025-03-13,2025-03-31
UCIG,RZE,Market price,MP,2025-03-13,2025-03-31
UCIG,DOH,Market price,MP,2025-03-13,2025-03-31
UCIG,JED,Market price,MP,2025-03-13,2025-03-31
UCIG,BTS,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
UCIG,BCN,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
UCIG,SHJ,ARAB GULF FOB HIGH PRIOR,1/2M,2025-03-13,2025-03-31
UCIG,AUH,ARAB GULF FOB HIGH PRIOR,1/2M,2025-03-13,2025-03-31
UCIG,RKT,ARAB GULF FOB HIGH PRIOR,1/2M,2025-03-13,2025-03-31
UCIG,LGW,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
UCIG,STN,HNWE  USDC.UGL,PW,2025-03-13,2025-03-31
UCIG,FRA,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
UCIG,CGN,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
UCIG,STR,HROTT  USDC.UGL,PW,2025-03-13,2025-03-31
