id,supl_iata,start,end,supplier,iata,value,currency,per_volume,supl_iata_1,value_per_usdc
1,WF-GRQ,2023-01-10,2024-03-31,WF,GRQ,7.95725,USD,gallion.USG.UGL,,795.725
2,WF-IST,2023-01-08,2024-03-31,WF,IST,2.53962,USD,gallion.USG.UGL,,253.96200000000002
3,WF-BQH,2024-01-04,2024-01-04,WF,BQH,4.79654,USD,gallion.USG.UGL,,479.654
4,AEG-EIN,2023-09-08,2024-03-31,AEG,EIN,3.1514,USD,gallion.USG.UGL,,315.14000000000004
5,AEG-IST,2023-01-08,2024-03-31,AEG,IST,2.5066,USD,gallion.USG.UGL,,250.66000000000003
6,AEG-GOI,2023-08-30,2024-03-31,AEG,GOI,2.6613,USD,gallion.USG.UGL,,266.13
7,WF-EIN,2023-09-08,2024-03-31,WF,EIN,3.38683,USD,gallion.USG.UGL,,338.683
8,WF-CMB,2024-01-04,2024-01-04,WF,CMB,2.63549,USD,gallion.USG.UGL,,263.549
9,WF-DIA,2024-01-04,2024-01-04,WF,DIA,3.00333,USD,gallion.USG.UGL,,300.333
10,WF-EVN,2023-01-09,2024-03-31,WF,EVN,4.19335,USD,gallion.USG.UGL,,419.335
11,WF-HKT,2024-01-04,2024-01-04,WF,HKT,2.81323,USD,gallion.USG.UGL,,281.323
12,WF-HRI,2023-06-09,2024-03-31,WF,HRI,2.63549,USD,gallion.USG.UGL,,263.549
13,WF-JNB,2024-01-04,2024-01-04,WF,JNB,2.65872,USD,gallion.USG.UGL,,265.872
14,WF-KIV,2024-01-04,2024-01-04,WF,KIV,3.44908,USD,gallion.USG.UGL,,344.908
15,WF-MIR,2024-01-04,2024-01-04,WF,MIR,3.51806,USD,gallion.USG.UGL,,351.80600000000004
16,WF-OUA,2024-01-04,2024-01-04,WF,OUA,5.07933,USD,gallion.USG.UGL,,507.933
17,WF-PHC,2024-01-04,2024-01-04,WF,PHC,3.75864,USD,gallion.USG.UGL,,375.86400000000003
18,WF-SLL,2024-01-04,2024-01-04,WF,SLL,4.625,USD,gallion.USG.UGL,,462.5
19,AEG-ABJ,2022-01-03,2023-03-31,AEG,ABJ,2.739472,USD,gallion.USG.UGL,,273.9472
20,AEG-ABV,2023-03-28,2024-03-31,AEG,ABV,3.8285,USD,gallion.USG.UGL,,382.85
21,AEG-ABZ,2020-06-23,2021-03-31,AEG,ABZ,1.2906,USD,gallion.USG.UGL,,129.06
