id,id,supl_iata,valid_since,valid_until,confirmed,supplier,iata,platts,period,diff,for_currency,per_volume,value_fee,for_currency_1,per_volume_1,value_fee_1,for_currency_2,per_volume_2,value_fee_2,for_currency_3,per_volume_3,value_fee_3,for_currency_4,per_volume_4,value_fee_4,for_currency_5,per_volume_5,value_fee_5,for_currency_6,per_volume_6,value_fee_6,for_currency_7,per_volume_7,value_fee_7,SAF_platts_name,SAF_period,SAF_diff,SAF_currency,SAF_per_volume,SAF_included_as_percent,timestamp
1,1,Shell-AGP,2018-04-01,2019-03-31,yes,Shell,AGP,HNWE  USDC.UGL,PW,31.5,EUR,M3.1000L,3.46,EUR,M3.1000L,4.14,EUR,M3.1000L,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,29.09,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
2,2,Air BP--AMS,2018-04-01,2019-03-31,yes,Air BP,AMS,HROTT  USDC.UGL,PW,4.85,EUR,M3.1000L,8.0,EUR,M3.1000L,3.14,EUR,M3.1000L,3.1,EUR,M3.1000L,2.88,EUR,M3.1000L,2.63,EUR,M3.1000L,0.0,EUR,EA.Ops,50.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
3,3,Air BP-ATH,2018-04-01,2019-03-31,yes,Air BP,ATH,FOB MED  USDC.UGL,PW,13.7,USDC,gallion.USG.UGL,5.69,USDC,gallion.USG.UGL,5.07,EUR,M3.1000L,5.2,EUR,M3.1000L,8.5,EUR,M3.1000L,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,34.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
4,4,Jetex-AYT,2018-04-01,2019-03-31,yes,Jetex,AYT,FOB MED  USDC.UGL,1/2M,16.58,USDC,gallion.USG.UGL,1.25,USDC,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
5,5,Air BP-BCN,2018-04-01,2019-03-31,yes,Air BP,BCN,HNWE  USDC.UGL,PW,13.3,EUR,M3.1000L,3.88,EUR,M3.1000L,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,28.75,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
6,6,WF-BEG,2018-04-01,2019-03-31,yes,WF,BEG,FOB MED  USDC.UGL,PM,117.0,USD,mTon,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
7,7,WF-BRU,2018-04-01,2019-03-31,yes,WF,BRU,HROTT  USDC.UGL,PW,10.5,EUR,M3.1000L,0.064,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
8,8,Air BP-CDG,2018-04-01,2019-03-31,yes,Air BP,CDG,HNWE  USDC.UGL,PW,9.0,EUR,M3.1000L,18.14,EUR,M3.1000L,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,49.07,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
9,9,WF-EVN,2018-04-01,2019-03-31,yes,WF,EVN,WF-EVN,MP,0.0,USD,gallion.USG.UGL,-0.03,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
10,10,Total-FCO,2018-04-01,2019-03-31,yes,Total,FCO,HNWE  USDC.UGL,PM,25.8,EUR,M3.1000L,3.68,EUR,M3.1000L,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,20.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
11,11,Air BP-FKB,2018-04-01,2019-03-31,yes,Air BP,FKB,HROTT  USDC.UGL,PW,163.0,EUR,M3.1000L,2.85,EUR,M3.1000L,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,25.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
12,12,WF-FRA,2018-04-01,2019-03-31,yes,WF,FRA,HROTT  USDC.UGL,PW,14.5,EUR,M3.1000L,0.013,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,25.31,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
13,13,LukOil-GOZ,2018-04-01,2019-03-31,yes,LukOil,GOZ,FOB MED  USDC.UGL,1/2M,404.0,USD,mTon,0.0,EUR,gallion.USG.UGL,0.0,EUR,M3.1000L,0.0,EUR,M3.1000L,0.0,EUR,M3.1000L,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
14,14,Shannon-KBP,2018-04-01,2019-03-31,yes,Shannon,KBP,Shannon--KBP,MP,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
15,15,WF-LCA,2018-04-01,2019-03-31,yes,WF,LCA,FOB MED  USDC.UGL,PM,0.316,USD,gallion.USG.UGL,0.1,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
16,16,Shell-LHR,2018-04-01,2019-03-31,yes,Shell,LHR,HNWE  USDC.UGL,PW,12.0,USDC,gallion.USG.UGL,1.0,USDC,gallion.USG.UGL,3.31,GBP,M3.1000L,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
17,17,Total-LIN,2018-04-01,2019-03-31,yes,Total,LIN,FOB MED  USDC.UGL,PM,70.0,EUR,M3.1000L,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,20.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
18,18,Air BP-LIS,2018-04-01,2019-03-31,yes,Air BP,LIS,HNWE  USDC.UGL,PW,30.1,EUR,M3.1000L,20.039,EUR,M3.1000L,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,42.95,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
19,19,Air BP-MAD,2018-04-01,2019-03-31,yes,Air BP,MAD,HNWE  USDC.UGL,PW,22.4,EUR,M3.1000L,0.03,USD,gallion.USG.UGL,3.85,EUR,M3.1000L,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,28.75,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
20,20,WF-MUC,2018-04-01,2019-03-31,yes,WF,MUC,HROTT  USDC.UGL,PW,34.0,EUR,M3.1000L,0.07,USDC,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
21,21,WF-MXP,2018-04-01,2019-03-31,yes,WF,MXP,FOB MED  USDC.UGL,PW,0.26,USD,gallion.USG.UGL,0.023,EUR,gallion.USG.UGL,0.0,GBP,litter.L,0.0,EUR,mTon,0.0,EUR,M3.1000L,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
22,22,Shannon-ODS,2018-04-01,2019-03-31,yes,Shannon,ODS,HNWE  USDC.UGL,1/2M,290.0,USD,mTon,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,USD,gallion.USG.UGL,0.0,nqma SAF,PM,0.0,USD,gallion.USG.UGL,0.0,3/3/25 13:27
