id,supl_iata,valid_since,valid_until,confirmed,supplier,iata,platts,period,diff,for_currency,per_volume,value_fee,for_currency_1,per_volume_1,value_fee_1,for_currency_2,per_volume_2,value_fee_2,for_currency_3,per_volume_3,value_fee_3,for_currency_4,per_volume_4,value_fee_4,for_currency_5,per_volume_5,value_fee_5,for_currency_6,per_volume_6,value_fee_6,for_currency_7,per_volume_7,value_fee_7,SAF_platts_name,SAF_period,SAF_diff,SAF_currency,SAF_per_volume,SAF_included_as_percent,timestamp
1,Shell-AGP,2018-04-01,2019-03-31,yes,Shell,AGP,203.977019230769,PW,31.5,91.8357975939021,264.1720524,3.46,91.8357975939021,264.1720524,4.14,91.8357975939021,264.1720524,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,29.09,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
2,Air BP--AMS,2018-04-01,2019-03-31,yes,Air BP,AMS,206.396809210526,PW,4.85,91.8357975939021,264.1720524,8.0,91.8357975939021,264.1720524,3.14,91.8357975939021,264.1720524,3.1,91.8357975939021,264.1720524,2.88,91.8357975939021,264.1720524,2.63,91.8357975939021,264.1720524,0.0,91.8357975939021,1947.42179487179,50.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
3,Air BP-ATH,2018-04-01,2019-03-31,yes,Air BP,ATH,202.542441471572,PW,13.7,0.918357975939021,1.0,5.69,0.918357975939021,1.0,5.07,91.8357975939021,264.1720524,5.2,91.8357975939021,264.1720524,8.5,91.8357975939021,264.1720524,0.0,100.0,1.0,0.0,100.0,1.0,34.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
4,Jetex-AYT,2018-04-01,2019-03-31,yes,Jetex,AYT,205.17615942029,1/2M,16.58,0.918357975939021,1.0,1.25,0.918357975939021,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
5,Air BP-BCN,2018-04-01,2019-03-31,yes,Air BP,BCN,203.977019230769,PW,13.3,91.8357975939021,264.1720524,3.88,91.8357975939021,264.1720524,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,28.75,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
6,WF-BEG,2018-04-01,2019-03-31,yes,WF,BEG,216.3,PM,117.0,100.0,330.2157309,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
7,WF-BRU,2018-04-01,2019-03-31,yes,WF,BRU,206.396809210526,PW,10.5,91.8357975939021,264.1720524,0.064,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
8,Air BP-CDG,2018-04-01,2019-03-31,yes,Air BP,CDG,203.977019230769,PW,9.0,91.8357975939021,264.1720524,18.14,91.8357975939021,264.1720524,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,49.07,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
9,WF-EVN,2018-04-01,2019-03-31,yes,WF,EVN,365.402,MP,0.0,100.0,1.0,-0.03,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
10,Total-FCO,2018-04-01,2019-03-31,yes,Total,FCO,225.57,PM,25.8,91.8357975939021,264.1720524,3.68,91.8357975939021,264.1720524,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,20.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
11,Air BP-FKB,2018-04-01,2019-03-31,yes,Air BP,FKB,536.605748920929,PW,163.0,91.8357975939021,264.1720524,2.85,91.8357975939021,264.1720524,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,25.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
12,WF-FRA,2018-04-01,2019-03-31,yes,WF,FRA,206.396809210526,PW,14.5,91.8357975939021,264.1720524,0.013,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,25.31,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
13,LukOil-GOZ,2018-04-01,2019-03-31,yes,LukOil,GOZ,205.17615942029,1/2M,404.0,100.0,330.2157309,0.0,91.8357975939021,1.0,0.0,91.8357975939021,264.1720524,0.0,91.8357975939021,264.1720524,0.0,91.8357975939021,264.1720524,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
14,Shannon-KBP,2018-04-01,2019-03-31,yes,Shannon,KBP,267.876856331686,MP,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
15,WF-LCA,2018-04-01,2019-03-31,yes,WF,LCA,216.3,PM,0.316,100.0,1.0,0.1,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
16,Shell-LHR,2018-04-01,2019-03-31,yes,Shell,LHR,391.521,PW,12.0,0.918357975939021,1.0,1.0,0.918357975939021,1.0,3.31,129.349156005369,264.1720524,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
17,Total-LIN,2018-04-01,2019-03-31,yes,Total,LIN,216.3,PM,70.0,91.8357975939021,264.1720524,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,20.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
18,Air BP-LIS,2018-04-01,2019-03-31,yes,Air BP,LIS,203.977019230769,PW,30.1,91.8357975939021,264.1720524,20.039,91.8357975939021,264.1720524,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,42.95,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
19,Air BP-MAD,2018-04-01,2019-03-31,yes,Air BP,MAD,203.977019230769,PW,22.4,91.8357975939021,264.1720524,0.03,100.0,1.0,3.85,91.8357975939021,264.1720524,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,28.75,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
20,WF-MUC,2018-04-01,2019-03-31,yes,WF,MUC,206.396809210526,PW,34.0,91.8357975939021,264.1720524,0.07,0.918357975939021,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
21,WF-MXP,2018-04-01,2019-03-31,yes,WF,MXP,202.542441471572,PW,0.26,100.0,1.0,0.023,91.8357975939021,1.0,0.0,129.349156005369,0.264172052,0.0,91.8357975939021,330.2157309,0.0,91.8357975939021,264.1720524,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
22,Shannon-ODS,2018-04-01,2019-03-31,yes,Shannon,ODS,210.361212121212,1/2M,290.0,100.0,330.2157309,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
23,LukOil-PDV,2018-04-01,2019-03-31,yes,LukOil,PDV,205.17615942029,1/2M,110.0,100.0,330.2157309,0.0,91.8357975939021,1.0,0.0,91.8357975939021,264.1720524,0.0,91.8357975939021,264.1720524,0.0,91.8357975939021,264.1720524,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
24,Air BP-PMI,2018-04-01,2019-03-31,yes,Air BP,PMI,203.977019230769,PW,31.0,91.8357975939021,264.1720524,3.88,91.8357975939021,264.1720524,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,26.88,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
25,WF-PRG,2018-04-01,2019-03-31,yes,WF,PRG,206.396809210526,PW,0.19,100.0,1.0,0.035,91.8357975939021,1.0,0.007,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
26,AEG-PRN,2018-04-01,2019-03-31,yes,AEG,PRN,337.333914719052,MP,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
27,WF-RZE,2018-04-01,2019-03-31,yes,WF,RZE,332.339263198165,MP,0.0,100.0,1.0,-0.03,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
28,WF-SKP,2018-04-01,2019-03-31,yes,WF,SKP,202.542441471572,PW,280.0,100.0,330.2157309,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,nqma SAF,PM,0.0,100.0,1.0,0.0,3/3/25 13:27
