id,supl_iata,start,end,platts,value,period,unnamed__6,unnamed__7
1,ARAB GULF FOB HIGH PRIORPM,2023-01-10,2024-03-31,ARAB GULF FOB HIGH PRIOR,269.43,PM,,
2,ARAB GULF FOB HIGH PRIOR1/2M,2023-09-16,2024-03-31,ARAB GULF FOB HIGH PRIOR,278.66,1/2M,,
3,ARAB GULF FOB HIGH PRIORPW,2023-05-09,2024-03-31,ARAB GULF FOB HIGH PRIOR,272.76,PW,,
4,EGPC1/2M,2021-03-13,2022-03-31,EGPC,182,1/2M,,
5,EGPCPW,2021-03-21,2022-03-31,EGPC,183,PW,,
6,FOB MED  USDC.UGL1/2M,2023-09-16,2024-03-31,FOB MED  USDC.UGL,288.63,1/2M,,
7,FOB MED  USDC.UGLPM,2023-01-10,2024-03-31,FOB MED  USDC.UGL,287.11,PM,,
8,FOB MED  USDC.UGLPW,2023-12-09,2024-03-31,FOB MED  USDC.UGL,284.19,PW,,
9,HNWE  USDC.UGL1/2M,2023-09-16,2024-03-31,HNWE  USDC.UGL,301.73,1/2M,,
10,HNWE  USDC.UGLPM,2023-01-10,2024-03-31,HNWE  USDC.UGL,296.07,PM,,
11,HNWE  USDC.UGLPW,2023-12-09,2024-03-31,HNWE  USDC.UGL,296.49,PW,,
12,HROTT  USDC.UGLPM,2023-01-10,2024-03-31,HROTT  USDC.UGL,295.38,PM,,
13,HROTT  USDC.UGLPW,2023-12-09,2024-03-31,HROTT  USDC.UGL,295.96,PW,,
14,ISRAELI GOVT USDC.USGPM,2022-01-04,2023-03-31,ISRAELI GOVT USDC.USG,274.37,PM,,
15,LukOIL FOB MED1/2M,2023-09-16,2024-03-31,LukOIL FOB MED,953.09,1/2M,,
16,MOPAGPM,2023-01-10,2024-03-31,MOPAG,269.43,PM,,
17,MOPAG1/2M,2023-09-16,2024-03-31,MOPAG,278.66,1/2M,,
18,MOPAGPW,2023-03-21,2024-03-31,MOPAG,236.43,PW,,
19,CIF MED USDC.UGL1/2M,2023-09-16,2024-03-31,CIF MED USDC.UGL,297.41,1/2M,,
20,MOPAG1/2M,2022-01-02,2022-02-16,MOPAG,232.27,1/2M,,
21,CIF MED USDC.UGL1/2M,2018-01-03,2018-03-15,CIF MED USDC.UGL,213.86,1/2M,,
22,EGPC1/2M,2018-01-03,2018-03-15,EGPC,289.23,1/2M,,
23,FOB MED  USDC.UGL1/2M,2018-01-03,2018-03-15,FOB MED  USDC.UGL,209.78,1/2M,,
24,HNWE  USDC.UGL1/2M,2018-01-03,2018-03-15,HNWE  USDC.UGL,214.25,1/2M,,
25,HNWE  USDC.UGL1/2M,2018-01-03,2018-03-15,HNWE  USDC.UGL,214.17,1/2M,,
26,HNWE  USDC.UGL1/2M,2018-01-03,2018-03-15,HNWE  USDC.UGL,197.99,1/2M,,
27,LukOIL FOB MED1/2M,2018-01-03,2018-03-15,LukOIL FOB MED,692.73,1/2M,,
28,ARAB GULF FOB HIGH PRIORPW,2018-03-21,2018-03-27,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
29,EGPCPW,2018-03-21,2018-03-27,EGPC,247,PW,,
30,FOB MED  USDC.UGLPW,2018-03-21,2018-03-27,FOB MED  USDC.UGL,203.07,PW,,
31,HNWE  USDC.UGLPW,2018-03-21,2018-03-27,HNWE  USDC.UGL,207.08,PW,,
32,HROTT  USDC.UGLPW,2018-03-21,2018-03-27,HROTT  USDC.UGL,205.87,PW,,
33,MOPAGPW,2018-03-21,2018-03-27,MOPAG,200.86,PW,,
34,ARAB GULF FOB HIGH PRIORPM,2018-01-04,2018-04-30,ARAB GULF FOB HIGH PRIOR,183.94,PM,,
35,FOB MED  USDC.UGLPM,2018-01-04,2018-04-30,FOB MED  USDC.UGL,189.5,PM,,
36,HNWE  USDC.UGLPM,2018-01-04,2018-04-30,HNWE  USDC.UGL,194.41,PM,,
37,HROTT  USDC.UGLPM,2018-01-04,2018-04-30,HROTT  USDC.UGL,195.04,PM,,
38,ISRAELI GOVT USDC.USGPM,2018-01-04,2018-04-30,ISRAELI GOVT USDC.USG,210.66,PM,,
39,ARAB GULF FOB HIGH PRIORPW,2018-03-04,2018-09-04,ARAB GULF FOB HIGH PRIOR,184.77,PW,,
40,FOB MED  USDC.UGLPW,2018-03-04,2018-09-04,FOB MED  USDC.UGL,196.5,PW,,
41,HNWE  USDC.UGLPW,2018-03-04,2018-09-04,HNWE  USDC.UGL,201.54,PW,,
42,HROTT  USDC.UGLPW,2018-03-04,2018-09-04,HROTT  USDC.UGL,201.1,PW,,
43,MOPAGPW,2018-03-04,2018-09-04,MOPAG,188.82,PW,,
44,ARAB GULF FOB HIGH PRIORPW,2018-10-04,2018-04-16,ARAB GULF FOB HIGH PRIOR,184.77,PW,,
45,FOB MED  USDC.UGLPW,2018-10-04,2018-04-16,FOB MED  USDC.UGL,195.37,PW,,
46,HNWE  USDC.UGLPW,2018-10-04,2018-04-16,HNWE  USDC.UGL,200.04,PW,,
47,HROTT  USDC.UGLPW,2018-10-04,2018-04-16,HROTT  USDC.UGL,198.66,PW,,
48,MOPAGPW,2018-10-04,2018-04-16,MOPAG,190.61,PW,,
49,ARAB GULF FOB HIGH PRIORPW,2018-04-17,2018-04-23,ARAB GULF FOB HIGH PRIOR,184.77,PW,,
50,FOB MED  USDC.UGLPW,2018-04-17,2018-04-23,FOB MED  USDC.UGL,204.05,PW,,
51,HNWE  USDC.UGLPW,2018-04-17,2018-04-23,HNWE  USDC.UGL,208.49,PW,,
52,HROTT  USDC.UGLPW,2018-04-17,2018-04-23,HROTT  USDC.UGL,207.29,PW,,
53,MOPAGPW,2018-04-17,2018-04-23,MOPAG,198.25,PW,,
54,ARAB GULF FOB HIGH PRIORPW,2018-04-24,2018-04-30,ARAB GULF FOB HIGH PRIOR,184.77,PW,,
55,FOB MED  USDC.UGLPW,2018-04-24,2018-04-30,FOB MED  USDC.UGL,207.35,PW,,
56,HNWE  USDC.UGLPW,2018-04-24,2018-04-30,HNWE  USDC.UGL,211.83,PW,,
57,HROTT  USDC.UGLPW,2018-04-24,2018-04-30,HROTT  USDC.UGL,209.85,PW,,
58,MOPAGPW,2018-04-24,2018-04-30,MOPAG,198.25,PW,,
59,ARAB GULF FOB HIGH PRIORPW,2018-01-05,2018-07-05,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
60,ARAB GULF FOB HIGH PRIORPM,2018-01-05,2018-05-31,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
61,EGPCPW,2018-01-05,2018-07-05,EGPC,239,PW,,
62,FOB MED  USDC.UGLPW,2018-01-05,2018-07-05,FOB MED  USDC.UGL,211.47,PW,,
63,FOB MED  USDC.UGLPM,2018-01-05,2018-05-31,FOB MED  USDC.UGL,205.4,PM,,
64,HNWE  USDC.UGLPW,2018-01-05,2018-07-05,HNWE  USDC.UGL,216.13,PW,,
65,HNWE  USDC.UGLPM,2018-01-05,2018-05-31,HNWE  USDC.UGL,209.97,PM,,
66,HROTT  USDC.UGLPW,2018-01-05,2018-07-05,HROTT  USDC.UGL,214.13,PW,,
67,HROTT  USDC.UGLPM,2018-01-05,2018-05-31,HROTT  USDC.UGL,208.4,PM,,
68,ISRAELI GOVT USDC.USGPM,2018-01-05,2018-05-31,ISRAELI GOVT USDC.USG,225.85,PM,,
69,MOPAGPW,2018-01-05,2018-07-05,MOPAG,204.96,PW,,
70,MOPAGPM,2018-01-05,2018-05-31,MOPAG,198.82,PM,,
71,ARAB GULF FOB HIGH PRIORPW,2018-08-05,2018-05-14,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
72,EGPCPW,2018-08-05,2018-05-14,EGPC,245,PW,,
73,FOB MED  USDC.UGLPW,2018-08-05,2018-05-14,FOB MED  USDC.UGL,208.56,PW,,
74,HNWE  USDC.UGLPW,2018-08-05,2018-05-14,HNWE  USDC.UGL,213.21,PW,,
75,HROTT  USDC.UGLPW,2018-08-05,2018-05-14,HROTT  USDC.UGL,213.72,PW,,
76,MOPAGPW,2018-08-05,2018-05-14,MOPAG,202.59,PW,,
77,ARAB GULF FOB HIGH PRIORPW,2018-05-15,2018-05-21,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
78,EGPCPW,2018-05-15,2018-05-21,EGPC,245,PW,,
79,FOB MED  USDC.UGLPW,2018-05-15,2018-05-21,FOB MED  USDC.UGL,214.01,PW,,
80,HNWE  USDC.UGLPW,2018-05-15,2018-05-21,HNWE  USDC.UGL,218.63,PW,,
81,HROTT  USDC.UGLPW,2018-05-15,2018-05-21,HROTT  USDC.UGL,219.35,PW,,
82,MOPAGPW,2018-05-15,2018-05-21,MOPAG,208.24,PW,,
83,MOPAGPW,2018-05-15,2018-05-21,MOPAG,227.99,PW,,
84,CIF MED USDC.UGL1/2M,2018-05-16,2018-05-30,CIF MED USDC.UGL,216.74,1/2M,,
85,CIF MED USDC.UGL1/2M,2018-05-16,2018-05-31,CIF MED USDC.UGL,216.74,1/2M,,
86,EGPC1/2M,2018-05-16,2018-05-30,EGPC,289.23,1/2M,,
87,EGPC1/2M,2018-05-16,2018-05-31,EGPC,289.23,1/2M,,
88,FOB MED  USDC.UGL1/2M,2018-05-16,2018-05-31,FOB MED  USDC.UGL,212.3,1/2M,,
89,HNWE  USDC.UGL1/2M,2018-05-16,2018-05-30,HNWE  USDC.UGL,217.12,1/2M,,
90,HNWE  USDC.UGL1/2M,2018-05-16,2018-05-31,HNWE  USDC.UGL,217.12,1/2M,,
91,LukOIL FOB MED1/2M,2018-05-16,2018-05-30,LukOIL FOB MED,701.03,1/2M,,
92,LukOIL FOB MED1/2M,2018-05-16,2018-05-31,LukOIL FOB MED,701.03,1/2M,,
